Start	End	Open	High	Low	Close	Volume	Market Cap	TVL
8/12/2021	9/12/2021	2617.027	2747.826248	2600.9887	2730.795236	99354662.47	2657199979	19482328696
7/12/2021	8/12/2021	2611.861812	2683.3062	2585.0372	2611.717	99605173.67	2599060216	19106094118
6/12/2021	7/12/2021	2580.2004	2621.07887	2370.6034	2610.693452	124087862.6	2487342556	19195592308
5/12/2021	6/12/2021	2610.191256	2662.514945	2513.0184	2572.7376	176665610.7	2560321246	18596920305
4/12/2021	5/12/2021	2752.1575	2754.9642	2340.6841	2591.811988	192788370.1	2553562917	18223173215
3/12/2021	4/12/2021	2968.7731	2983.8799	2711.168479	2764.7935	92932558.95	2845298847	18617129863
2/12/2021	3/12/2021	2975.9239	3033.39308	2908.168877	2968.7731	105895624.5	2946303528	19557459876
1/12/2021	2/12/2021	3058.195918	3124.3192	2960.827287	2973.9258	139117243.5	3033348909	19753823382
30-11-2021	1/12/2021	3086.728	3219.4679	2979.9885	3068.267642	118336243.7	3060288527	19820031255
29-11-2021	30-11-2021	3078.673362	3114.4813	3018.931	3087.3359	94733533.54	3037681704	19248402258
28-11-2021	29-11-2021	3080.9512	3089.7963	2866.9496	3080.593254	93374883.21	2948801828	18794535583
27-11-2021	28-11-2021	3087.280607	3195.7817	3034.5796	3067.0116	138251136.1	3101771482	18000565067
26-11-2021	27-11-2021	3310.587079	3401.669103	2948.999636	3092.05962	222200476.4	3123988007	17612997249
25-11-2021	26-11-2021	3095.1725	3431.9058	3087.1995	3315.239899	198533332.3	3265629221	19200455168
24-11-2021	25-11-2021	3038.529584	3154.670077	2959.479866	3089.7962	130976391.8	3015115197	18339357692
23-11-2021	24-11-2021	2856.5319	3088.831107	2838.3341	3044.801069	103223299.4	2949359577	18591037251
22-11-2021	23-11-2021	2953.0247	2986.9358	2833.102876	2856.2341	97057159.18	2871931689	17744252482
21-11-2021	22-11-2021	3122.850213	3140.31439	2964.24204	2964.24204	106331733.7	3015356940	18611191104
20-11-2021	21-11-2021	2954.108984	3128.204003	2940.3463	3128.204003	87706235.65	2991974706	18912608476
19-11-2021	20-11-2021	2806.115927	3000.169027	2790.3947	2958.199342	178842906.4	2872672458	18418754288
